hyperparameters_size,5
env_name,MiniGrid-Empty-16x16-v0
discount_rate,0.9
learning_rate,0.01
lambda,0.9
n0,10
Episode,Step,Total Reward,q_value_table_length
0,1023,0.0,71
1,2047,0.0,81
2,2857,0.2880859375,112
3,3881,0.0,117
4,4905,0.0,119
5,5929,0.0,121
6,6953,0.0,121
7,7977,0.0,123
8,9001,0.0,128
9,10025,0.0,128
10,11049,0.0,128
11,12073,0.0,128
12,13097,0.0,128
13,14121,0.0,128
14,15145,0.0,128
15,16169,0.0,129
16,17193,0.0,129
17,18217,0.0,130
18,19241,0.0,130
19,20265,0.0,130
20,21289,0.0,130
21,22313,0.0,130
22,23337,0.0,130
23,24361,0.0,130
24,25385,0.0,130
25,26409,0.0,132
26,27433,0.0,132
27,28457,0.0,132
28,29481,0.0,132
29,30505,0.0,132
30,31529,0.0,132
31,32553,0.0,132
32,33577,0.0,132
33,34601,0.0,132
34,35625,0.0,132
35,36649,0.0,132
36,37673,0.0,133
37,38697,0.0,133
38,39721,0.0,133
39,40745,0.0,134
40,41769,0.0,134
41,42793,0.0,134
42,43817,0.0,134
43,44841,0.0,134
44,45865,0.0,134
45,46889,0.0,134
46,47913,0.0,146
47,48937,0.0,146
48,49961,0.0,146
49,50985,0.0,146
50,52009,0.0,146
51,53033,0.0,146
52,54057,0.0,146
53,55081,0.0,146
54,56105,0.0,146
55,57129,0.0,146
56,58153,0.0,146
57,59177,0.0,146
58,60201,0.0,146
59,61225,0.0,146
60,62249,0.0,146
61,63273,0.0,146
62,64297,0.0,146
63,65321,0.0,146
64,66345,0.0,146
65,67369,0.0,146
66,68393,0.0,146
67,69417,0.0,146
68,70441,0.0,146
69,71465,0.0,146
70,72489,0.0,146
71,73513,0.0,146
72,74537,0.0,146
73,75561,0.0,146
74,76585,0.0,146
75,77609,0.0,146
76,78633,0.0,146
77,79657,0.0,146
78,80681,0.0,146
79,81705,0.0,146
80,82729,0.0,146
81,83753,0.0,146
82,84777,0.0,146
83,85801,0.0,146
84,86825,0.0,146
85,87849,0.0,146
86,88873,0.0,146
87,89897,0.0,146
88,90921,0.0,146
89,91945,0.0,146
90,92969,0.0,146
91,93993,0.0,146
92,95017,0.0,146
93,96041,0.0,146
94,97065,0.0,146
95,98089,0.0,146
96,99113,0.0,146
97,100137,0.0,146
98,101161,0.0,146
99,102185,0.0,146
100,103209,0.0,146
101,104233,0.0,146
102,105257,0.0,146
103,106281,0.0,146
104,107305,0.0,147
105,108329,0.0,152
106,109353,0.0,152
107,110377,0.0,152
108,111012,0.44189453125,156
109,111608,0.476171875,156
110,112022,0.6361328125,156
111,112246,0.803125,156
112,113270,0.0,163
113,114132,0.24238281249999993,164
114,114330,0.8259765625,166
115,114662,0.708203125,166
116,114734,0.93671875,166
117,114893,0.86025390625,166
118,115050,0.86201171875,166
119,115229,0.84267578125,167
120,115365,0.88046875,167
121,115537,0.848828125,167
122,115697,0.859375,167
123,115895,0.8259765625,167
124,116018,0.89189453125,167
125,116234,0.81015625,167
126,116373,0.87783203125,167
127,116427,0.9525390625,167
128,116501,0.9349609375,167
129,117003,0.5587890625,167
130,117081,0.9314453125,167
131,117217,0.88046875,167
