hyperparameters_size,5
env_name,MiniGrid-Empty-5x5-v0
discount_rate,0.9
learning_rate,0.01
lambda,0.9
n0,10
Episode,Step,Total Reward,q_value_table_length
263,9086,0.919,29
264,9095,0.919,29
265,9104,0.919,29
266,9114,0.91,29
267,9123,0.919,29
268,9133,0.91,29
269,9142,0.919,29
270,9151,0.919,29
271,9160,0.919,29
272,9170,0.91,29
273,9179,0.919,29
274,9188,0.919,29
275,9198,0.91,29
276,9207,0.919,29
277,9216,0.919,29
278,9223,0.9369999999999999,29
279,9232,0.919,29
280,9241,0.919,29
281,9250,0.919,29
282,9259,0.919,29
283,9268,0.919,29
284,9277,0.919,29
285,9286,0.919,29
286,9295,0.919,29
287,9304,0.919,29
288,9313,0.919,29
289,9322,0.919,29
290,9332,0.91,29
291,9341,0.919,29
292,9350,0.919,29
293,9359,0.919,29
294,9368,0.919,29
295,9377,0.919,29
296,9387,0.91,29
297,9396,0.919,29
298,9405,0.919,29
299,9414,0.919,29
300,9424,0.91,29
301,9433,0.919,29
302,9442,0.919,29
303,9451,0.919,29
304,9460,0.919,29
305,9469,0.919,29
306,9478,0.919,29
307,9487,0.919,29
308,9496,0.919,29
309,9505,0.919,29
310,9514,0.919,29
311,9523,0.919,29
312,9532,0.919,29
313,9541,0.919,29
314,9550,0.919,29
315,9559,0.919,29
316,9568,0.919,29
317,9577,0.919,29
318,9586,0.919,29
319,9595,0.919,29
320,9604,0.919,29
321,9613,0.919,29
322,9622,0.919,29
323,9631,0.919,29
324,9640,0.919,29
325,9649,0.919,29
326,9658,0.919,29
327,9667,0.919,29
328,9678,0.901,29
329,9687,0.919,29
330,9696,0.919,29
331,9705,0.919,29
332,9714,0.919,29
333,9723,0.919,29
334,9732,0.919,29
335,9741,0.919,29
336,9751,0.91,29
337,9760,0.919,29
338,9769,0.919,29
339,9780,0.901,29
340,9789,0.919,29
341,9798,0.919,29
342,9807,0.919,29
343,9817,0.91,29
344,9826,0.919,29
345,9835,0.919,29
346,9848,0.883,29
347,9857,0.919,29
348,9866,0.919,29
349,9876,0.91,29
350,9886,0.91,29
351,9895,0.919,29
352,9904,0.919,29
353,9913,0.919,29
354,9922,0.919,29
355,9931,0.919,29
356,9940,0.919,29
357,9949,0.919,29
358,9958,0.919,29
359,9967,0.919,29
360,9976,0.919,29
361,9985,0.919,29
362,9995,0.91,29
363,10005,0.91,29
364,10014,0.919,29
365,10023,0.919,29
366,10032,0.919,29
367,10041,0.919,29
368,10050,0.919,29
369,10059,0.919,29
370,10069,0.91,29
371,10078,0.919,29
372,10087,0.919,29
373,10096,0.919,29
374,10105,0.919,29
375,10114,0.919,29
376,10123,0.919,29
377,10132,0.919,29
378,10141,0.919,29
379,10150,0.919,29
380,10159,0.919,29
381,10168,0.919,29
382,10177,0.919,29
383,10186,0.919,29
384,10195,0.919,29
385,10204,0.919,29
386,10213,0.919,29
387,10222,0.919,29
388,10231,0.919,29
389,10240,0.919,29
390,10249,0.919,29
391,10258,0.919,29
392,10267,0.919,29
393,10276,0.919,29
394,10286,0.91,29
395,10295,0.919,29
396,10304,0.919,29
397,10313,0.919,29
398,10322,0.919,29
399,10331,0.919,29
400,10340,0.919,29
401,10349,0.919,29
402,10358,0.919,29
403,10367,0.919,29
404,10376,0.919,29
405,10385,0.919,29
406,10396,0.901,29
407,10407,0.901,29
408,10416,0.919,29
409,10425,0.919,29
410,10434,0.919,29
411,10443,0.919,29
412,10452,0.919,29
413,10461,0.919,29
414,10470,0.919,29
415,10479,0.919,29
416,10488,0.919,29
417,10497,0.919,29
418,10506,0.919,29
419,10515,0.919,29
420,10524,0.919,29
421,10533,0.919,29
422,10542,0.919,29
423,10551,0.919,29
424,10560,0.919,29
425,10569,0.919,29
426,10578,0.919,29
427,10587,0.919,29
428,10596,0.919,29
429,10605,0.919,29
430,10614,0.919,29
431,10623,0.919,29
432,10632,0.919,29
433,10641,0.919,29
434,10650,0.919,29
435,10659,0.919,29
436,10668,0.919,29
437,10677,0.919,29
438,10686,0.919,29
439,10695,0.919,29
440,10704,0.919,29
441,10713,0.919,29
442,10722,0.919,29
443,10731,0.919,29
444,10740,0.919,29
445,10749,0.919,29
446,10758,0.919,29
447,10767,0.919,29
448,10776,0.919,29
449,10785,0.919,29
450,10794,0.919,29
451,10804,0.91,29
452,10813,0.919,29
453,10822,0.919,29
454,10831,0.919,29
455,10840,0.919,29
456,10849,0.919,29
457,10858,0.919,29
458,10867,0.919,29
459,10876,0.919,29
460,10885,0.919,29
461,10894,0.919,29
462,10904,0.91,29
463,10913,0.919,29
464,10924,0.901,29
465,10933,0.919,29
466,10942,0.919,29
467,10951,0.919,29
468,10960,0.919,29
469,10969,0.919,29
470,10978,0.919,29
471,10988,0.91,29
472,10997,0.919,29
473,11006,0.919,29
474,11015,0.919,29
475,11024,0.919,29
476,11033,0.919,29
477,11042,0.919,29
478,11051,0.919,29
479,11060,0.919,29
480,11069,0.919,29
481,11078,0.919,29
482,11087,0.919,29
483,11096,0.919,29
484,11105,0.919,29
485,11115,0.91,29
486,11124,0.919,29
487,11133,0.919,29
488,11142,0.919,29
489,11152,0.91,29
490,11161,0.919,29
491,11170,0.919,29
492,11179,0.919,29
493,11189,0.91,29
494,11198,0.919,29
495,11207,0.919,29
496,11216,0.919,29
497,11225,0.919,29
498,11234,0.919,29
499,11243,0.919,29
500,11253,0.91,29
501,11262,0.919,29
502,11271,0.919,29
503,11280,0.919,29
504,11289,0.919,29
505,11298,0.919,29
506,11307,0.919,29
507,11317,0.91,29
508,11326,0.919,29
509,11337,0.901,29
510,11346,0.919,29
511,11355,0.919,29
512,11364,0.919,29
513,11373,0.919,29
514,11382,0.919,29
515,11391,0.919,29
516,11401,0.91,29
517,11410,0.919,29
518,11419,0.919,29
519,11429,0.91,29
520,11438,0.919,29
521,11447,0.919,29
522,11456,0.919,29
523,11465,0.919,29
524,11474,0.919,29
525,11483,0.919,29
526,11492,0.919,29
527,11502,0.91,29
528,11511,0.919,29
529,11522,0.901,29
530,11532,0.91,29
531,11541,0.919,29
532,11550,0.919,29
533,11559,0.919,29
534,11568,0.919,29
535,11577,0.919,29
536,11586,0.919,29
537,11595,0.919,29
538,11604,0.919,29
539,11614,0.91,29
540,11623,0.919,29
541,11632,0.919,29
542,11641,0.919,29
543,11650,0.919,29
544,11659,0.919,29
545,11668,0.919,29
546,11679,0.901,29
547,11688,0.919,29
548,11697,0.919,29
549,11706,0.919,29
550,11716,0.91,29
551,11725,0.919,29
552,11734,0.919,29
553,11744,0.91,29
554,11754,0.91,29
555,11763,0.919,29
556,11772,0.919,29
557,11781,0.919,29
558,11791,0.91,29
559,11800,0.919,29
560,11810,0.91,29
561,11819,0.919,29
562,11828,0.919,29
563,11867,0.649,29
564,11876,0.919,29
565,11885,0.919,29
566,11894,0.919,29
567,11903,0.919,29
568,11912,0.919,29
569,11921,0.919,29
570,11930,0.919,29
571,11939,0.919,29
572,11948,0.919,29
573,11957,0.919,29
574,11966,0.919,29
575,11975,0.919,29
576,11984,0.919,29
577,11993,0.919,29
578,12002,0.919,29
579,12011,0.919,29
580,12021,0.91,29
581,12030,0.919,29
582,12039,0.919,29
583,12048,0.919,29
584,12057,0.919,29
585,12066,0.919,29
586,12076,0.91,29
587,12085,0.919,29
588,12096,0.901,29
589,12105,0.919,29
590,12114,0.919,29
591,12123,0.919,29
592,12132,0.919,29
593,12141,0.919,29
594,12150,0.919,29
595,12159,0.919,29
596,12168,0.919,29
597,12177,0.919,29
598,12186,0.919,29
599,12195,0.919,29
600,12204,0.919,29
601,12215,0.901,29
602,12224,0.919,29
603,12234,0.91,29
604,12243,0.919,29
605,12252,0.919,29
606,12261,0.919,29
607,12270,0.919,29
608,12279,0.919,29
609,12288,0.919,29
610,12297,0.919,29
611,12307,0.91,29
612,12316,0.919,29
613,12325,0.919,29
614,12336,0.901,29
615,12345,0.919,29
616,12354,0.919,29
617,12363,0.919,29
618,12372,0.919,29
619,12381,0.919,29
620,12390,0.919,29
621,12400,0.91,29
622,12409,0.919,29
623,12418,0.919,29
624,12427,0.919,29
625,12436,0.919,29
626,12445,0.919,29
627,12454,0.919,29
628,12463,0.919,29
629,12472,0.919,29
630,12481,0.919,29
631,12490,0.919,29
632,12499,0.919,29
633,12508,0.919,29
634,12517,0.919,29
635,12526,0.919,29
636,12535,0.919,29
637,12544,0.919,29
638,12553,0.919,29
639,12562,0.919,29
640,12571,0.919,29
641,12580,0.919,29
642,12589,0.919,29
643,12599,0.91,29
644,12608,0.919,29
645,12617,0.919,29
646,12626,0.919,29
647,12636,0.91,29
648,12645,0.919,29
649,12655,0.91,29
650,12664,0.919,29
651,12673,0.919,29
652,12682,0.919,29
653,12691,0.919,29
654,12700,0.919,29
655,12709,0.919,29
656,12718,0.919,29
